@relation predic
@attribute len real
@attribute nonsynvar real
@attribute synvar real
@attribute issuespe {1, 0}
@attribute expr real
@attribute reptime real
@attribute hi real
@attribute rec real
@attribute constaint_score real
@attribute Genic_score real
@attribute tr_count_all real
@attribute GC_content real
@attribute tr_coding_only_length real
@attribute Non_Conding_tr_count real
@attribute case {no,yes}
@data
0.894,24.0,11.0,1,4.39942,277.0,0.07856,0.09953,-0.065246603,0.8855767054,2,54.95,10862.5,0,yes
1.043,1.0,2.0,1,1.29795,431.0,0.000001,0.000001,2.682074008,0.000001,1,57.73,2826.0,0,yes
2.716,44.0,21.0,1,2.92831,381.0,0.68004,0.12345,1.093682919,0.6521633247,7,40.8,105999.5,5,yes
1.147,19.0,12.0,0,0.94287,650.0,0.20973,0.1996,0.56800795,-0.4463048533,2,53.96,3659.0,0,yes
1.518,39.0,14.0,0,2.54705,831.0,0.000001,0.000001,-2.465356124,0.7146579535,3,39.52,90637.0,2,yes
1.511,11.0,11.0,0,0.47545,445.0,0.38597,0.23829,2.711349315,0.000001,1,60.82,1683.0,0,yes
1.667,1.0,10.0,0,1.45123,487.0,0.71308,0.29904,2.650390086,0.000001,1,56.32,3447.0,0,yes
3.126,24.0,16.0,1,2.46867,325.0,0.49684,0.29035,3.685879811,-1.4200495098,4,38.64,129638.0,3,yes
0.751,8.0,3.0,1,3.44663,338.0,0.12968,0.14188,0.000001,-0.2074375289,5,36.71,10713.333333333334,2,yes
3.182,37.0,11.0,0,3.69483,417.0,0.85302,0.5014,1.357419243,-0.9313380396,3,41.04,190567.0,1,yes
4.021,46.0,38.0,0,0.52369,997.0,0.83083,0.1075,3.296416461,-1.9677399918,16,41.05,521787.6666666666,10,yes
0.979,14.0,13.0,0,9.73133,347.0,0.08533,0.2164,0.843459445,0.2187175749,6,54.98,4969.5,2,yes
2.476,21.0,19.0,0,4.3297,253.0,0.51899,0.20347,2.273569885,-0.6906374577,11,38.86,33051.0,10,yes
1.492,14.0,13.0,1,28.19394,232.0,0.44678,0.98357,1.308943466,0.5750976438,12,48.55,22969.666666666668,9,yes
2.753,28.0,16.0,0,6.25465,394.0,0.28009,0.11485,2.029700479,-0.8431475378,13,42.61,48508.0,11,yes
1.187,2.0,1.0,1,3.55217,510.0,0.000001,0.000001,2.175096701,0.000001,1,65.94,2631.0,0,yes
2.801,36.0,14.0,0,11.72813,183.0,0.9967,0.47784,1.006168098,-1.0415783763,1,41.52,102108.0,0,yes
1.558,20.0,9.0,0,5.3912,237.0,0.13447,0.13312,0.626929259,-0.3581197867,1,50.41,35938.0,0,yes
2.071,29.0,27.0,1,6.40438,204.0,0.30594,0.15579,1.647346826,-1.0415783763,5,57.93,22564.0,1,yes
3.931,46.0,45.0,0,3.84444,575.0,0.27882,0.76444,3.643119999,-1.2530151163,16,53.07,91786.75,12,yes
1.385,27.0,4.0,0,9.88012,191.0,0.08249,0.90261,0.0038849,0.3087212333,6,53.49,5736.5,2,yes
2.413,34.0,22.0,0,0.74057,955.0,0.09259,0.11165,1.177962979,-0.7972343834,4,34.7,254444.33333333334,1,yes
2.401,34.0,18.0,0,0.6135,601.0,0.000001,0.000001,0.927823156,0.3362259279,7,34.35,230845.4,2,yes
2.777,46.0,30.0,1,5.81032,347.0,0.14855,0.33622,1.011009523,1.7857870586,18,53.16,12849.5,8,yes
1.578,41.0,27.0,0,4.76916,493.0,0.18195,0.24392,-0.856065953,-0.3490256395,6,47.41,70371.5,4,yes
