Gene,ISPP_AD,ISPP_AR,ISPP_XL,ISPP_PAE,HI,REC,CONS,RVIS,NET,GDI
AMY2A,0.037949102521462705,0.06470800629203374,*,0.1065116215112067,0.13172,0.48922,2.253828791,0.000001,0.841775915734377,1231.4964
GHR,0.06799642884134478,0.08954220198840625,*,0.7459305589292031,0.38194,0.52767,1.174658394,0.756930627,0.579201554711817,4777.95984
PARVG,0.010405877443311739,0.05004396021421942,*,0.024847722016514695,0.0908,0.14556,-0.446719992,0.3307675085,0.30467452223074,120.62002
MTERF,0.006387753287283743,0.006319958391848417,*,0.006300084794597939,0.07799,0.07345,-0.418775783,0.3969065885,0.718676866180899,77.19114
GIP,0.02267816097128306,0.043910894861187884,*,0.07064266790066442,0.09377,0.28525,0.000001,0.5273688491,0.372660399724402,415.38531
AIFM3,0.012555254932182042,0.01272137470170579,*,0.019205485292890415,0.14518,0.13207,0.312338132,-0.1947005825,0.156538400336786,396.16868
AIFM2,0.0,0.07059450029254266,*,0.012550175822491953,0.18175,0.13527,-0.520576228,-0.3985731356,0.447118868913156,1097.00592
ANP32B,0.006337978499328466,0.0,*,0.031114968164479655,0.82716,0.10874,0.718886949,-0.1633450269,0.889787951988046,31.817
AIFM1,0.018967468404733793,0.0,0.8960954386869612,0.16829489837509826,0.32532,0.37971,0.846353376,-0.2699351402,0.77303998878898,36.75135
ANP32D,0.0,0.006351354445239633,*,0.0,0.000001,0.000001,0.000001,0.7037467843,0.15882267160842,30.52241
ANP32E,0.03436630199223704,0.012760550617390037,*,0.006287312050428992,0.77993,0.13603,2.018922553,0.1691696155,0.99101012911509,3690.10379
SLC3A2,0.0064183319092214215,0.1756826186289144,*,0.08059308381774537,0.27357,0.41835,1.544695207,-0.3103880539,0.99720471316412,99.64846
GIF,0.0,0.7922047472308594,*,0.7851888808561234,0.08359,0.32009,-0.282464474,0.6871504764,0.363942578668081,116.32414
RHOXF2B,0.0,0.0,0.0,0.0,0.000001,0.000001,2.79599924,0.000001,5.12960974598868e-11,1.91614
SLC3A1,0.009404009153059268,0.7497150088134099,*,0.7391332066336573,0.14759,0.43231,-0.978193194,-1.5892113508,0.00419619040779063,899.71507
CCT6A,0.03731813639756841,0.09343594623695964,*,0.1434053029789718,0.24693,0.43796,1.565834183,-0.291981272,0.782310121762422,345.9113
BRWD3,0.04076185907968683,0.00630585656871912,0.8324030101654531,0.04384244343143935,0.000001,0.000001,4.682947856,-0.4885778835,0.693554236789227,56.92691
BRWD1,0.020447990909868385,0.01595722803476619,*,0.015693430626488817,0.64569,0.10719,1.975120897,-0.8214122358,0.70169901299547,5050.46205
FANCD2,0.02323773150099847,0.5960249005153067,*,0.6940210083557556,0.000001,0.000001,1.238015175,-0.9204538863,0.928066383235467,710.41171
AMY1C,0.12272305422725362,0.04870590607603969,*,0.127531795607561,0.17026,0.37631,3.500139996,0.000001,0.906481078811901,5.59633
AMY1B,0.05339563282496704,0.019285990137455654,*,0.11556686395819003,0.17574,0.40177,3.500139996,0.000001,0.253729575346527,16.83707
PARVB,0.027795157428899316,0.17857092055783658,*,0.09679181759209111,0.09248,0.20562,0.403091032,0.4005446455,0.666453931687027,224.97702
AMY1A,0.055537454588966494,0.037028592343435425,*,0.043247661638256794,0.15126,0.48083,3.500139996,0.000001,0.754924667772094,5.53081
PARVA,0.03957895951801685,0.02577643250546108,*,0.0608047975953451,0.24069,0.17061,1.614681899,-0.4058538669,0.639959389674704,31.71128
SCML4,0.032881941002882165,0.051758806725101164,*,0.024489387881990215,0.000001,0.000001,1.052004355,-0.047654689,0.649078660193508,1266.26154
PTOV1,0.04747725502530314,0.06438751912384374,*,0.02532178942808768,0.3692,0.11188,0.257458166,-0.8211001351,0.90409178496586,836.58972
SPATA45,0.0,0.0,*,0.0,0.000001,0.000001,0.000001,0.1691696155,*,*
ECEL1,0.02220175997773538,0.6015037744940923,*,0.05590251643907246,0.12989,0.20455,1.354743774,0.0037148246,0.361620763950431,432.34761
GK2,0.00629308051676819,0.04478168068285756,*,0.04740879226305881,0.000001,0.000001,-0.371634906,-0.0881078934,0.836000877346111,81.69796
SCML2,0.006266759172195426,0.006291129537875069,0.11917786684063161,0.006280402863593197,0.12839,0.09503,1.875027221,-0.4940393029,0.48724880401878,16.14895
SCML1,0.012695169366651122,0.0,0.02549475789128928,0.012866312068049545,0.02653,0.06729,2.192611694,-0.0751598784,0.0027654392941723,0.81944
UGDH,0.03153144075029685,0.0,*,0.0,0.91005,0.10964,1.867130783,-0.1376585754,0.976418301188584,82.05323
POT1,0.6444551586278007,0.09257213241698156,*,0.6797176229337175,0.16916,0.1616,2.222682729,0.0405295409,0.308561073514758,83.7068
FAN1,0.0,0.7354218671574195,*,0.00934804431726237,0.10351,0.08667,-0.260436786,0.2773716768,0.114371359811310,337.65639
CCT6B,0.0,0.04505327247884887,*,0.033095230152336924,0.11522,0.11925,0.237587584,0.1984903706,0.71013840350623,5479.30528
PARS2,0.02587859352688457,0.07414664368776312,*,0.06327820450036496,0.14829,0.14856,0.312997183,-0.2681152227,0.990138059198408,1072.64738
DHCR7,0.05042760584608716,0.7799951960503121,*,0.7335820489306819,0.10133,0.32155,0.192791441,-0.8615603264,0.996945032088545,117.70382
GK5,0.0,0.006476755755851899,*,0.006393307552353629,0.11834,0.10568,1.419855165,-0.5822252308,0.270813989997749,25.18144
SPATA33,0.0,0.0,*,0.0,0.000001,0.000001,0.000001,0.4832751312,*,717.34983
SPATA32,0.0,0.006205778342107173,*,0.009487947652034116,0.2435,0.07105,0.000001,-0.2019769636,*,643.83669
ATRN,0.056183133964235035,0.07927341611887188,*,0.06190152647175446,0.27789,0.17365,2.292321679,0.1175846983,0.37556588749964,3379.60468
MANBA,0.0,0.781310343138992,*,0.1261795621092269,0.10723,0.33098,-0.345257125,-0.6154053561,0.251540539883741,1194.85123
ATRX,0.0,0.012781645782027213,0.9031424516214999,0.07488072317141488,0.000001,0.000001,3.80199243,-0.9258896872,0.978254632715545,107.54684
GLA,0.018752659039877884,0.0,0.8904548249109292,0.8414574319300243,0.09385,0.74184,0.327410498,0.0387103395,0.980756580532464,286.62877
SPATA2L,0.01878543641481254,0.01056387115703665,*,0.0,0.13174,0.10973,0.131868715,0.000001,0.901035114372536,81.5503
QRFPR,0.0,0.0,*,0.0,0.04574,0.07907,1.587779256,1.6186585061,0.000827346837711653,4171.15062
SPATA20,0.03755976161254387,0.1295404177543328,*,0.05537020585195181,0.14811,0.1554,-0.200797663,-0.5897274378,0.516567485435257,4840.85071
OR1J2,0.0,0.0,*,0.0,0.000001,0.000001,-0.698717226,0.3969065885,0.369364257224493,1301.75288
OR1J1,0.0,0.0,*,0.0,0.13053,0.08213,0.603646243,1.3063187953,0.149732503009904,341.55836
